Var1,Weighted
TYK2,-0.486398320294585
CTA-250D10.19,-0.486393413125789
PSKH1,-0.486391247085088
RP1-232L24.3,-0.486346630676818
TUT1,-0.48634296793249
DBN1,-0.486326725638265
JPH4,-0.486293149801748
RP11-101E3.5,-0.486275451399905
EPHA2,-0.486269181959362
UNG,-0.486266788790847
TGIF2,-0.486229945529752
TMSB10,-0.486191082813486
NUBP1,-0.48617748754867
ANKHD1,-0.486174354243926
AL365332.1,-0.48615668399942
SEC11A,-0.486154143346078
DCX,-0.486154081674038
CITED1,-0.486147162171832
ENO2,-0.48610350144795
TMEM101,-0.486092153437447
TNK2,-0.486079040895805
AC097523.2,-0.486071611115672
DLL1,-0.486065156664704
RP11-367J11.2,-0.486053271875906
MANBAL,-0.486034741528374
H6PD,-0.486028983132074
KCTD13,-0.48599033900874
PELI2,-0.485981097875554
AL589988.1,-0.485933841046032
RPRD1B,-0.485874844500218
hsa-mir-220b,-0.48586612677525
RP11-758P17.3,-0.485849457901259
C1orf216,-0.485841898760959
NEDD8-MDP1,-0.48575866631622
HMOX2,-0.485741939605601
MPDZ,-0.485628741496491
AP006621.8,-0.485600869206641
TULP3,-0.485591216417704
RP11-198M15.1,-0.485571261863961
NEUROD2,-0.485480102021477
RP11-327L3.1,-0.485460655466931
METTL7B,-0.485455941063154
EPHB4,-0.485450094696637
SERPINA3,-0.485427895477537
TUBB3,-0.485335646461741
NTN1,-0.485300173021634
SNX18,-0.485293060332491
RIN2,-0.485192029357828
CBX7,-0.485180636672232
ZNF24,-0.485110633541541
TMEM63B,-0.485091584690612
RIT1,-0.484994624294435
SOX2-OT,-0.48492768708738
TSPAN15,-0.484805006550079
DIRC2,-0.484794617694179
FLI1,-0.484767097799048
TMSB10P1,-0.484731524305917
RAPGEF4,-0.484724678641358
PRDX2P1,-0.484721608309773
ADRB1,-0.484707328181638
NOSTRIN,-0.484705138278436
ERG,-0.484703853915085
AC104306.4,-0.484627928730184
ABTB1,-0.484480949310495
LAYN,-0.484319393627816
BBOX1,-0.484312060455429
TCIRG1,-0.484308690831631
SLC14A1,-0.48429961145322
RP11-140L24.4,-0.484293344170343
RP11-84A14.5,-0.484287130554863
SCAMP5,-0.484219243496637
SOX21,-0.484217538078911
CD24P4,-0.484192718060809
INHBB,-0.484188636518136
CHD1L,-0.484154327425836
ECHS1,-0.484132094280697
BANF1,-0.484109442468829
BABAM1,-0.484087131030012
TNFRSF10B,-0.484082700987786
RAB28,-0.484044970654383
ADHFE1,-0.48403007492557
MAP1B,-0.483984658414131
